2010_a,zip,2011_a,2012_a,2013_a,2010_s,2011_s,2012_s,2013_s,2010_r,2011_r,2012_r,2013_r,total_a,total_s,total_r
8130.0,11413.0,7373.0,6860.0,5703,449.0,352.0,367.0,331.0,0.0552275522755,0.0477417604774,0.0534985422741,0.0580396282658,28066.0,1499.0,0.0534098197107
4663.0,11414.0,4477.0,4917.0,4896,198.0,225.0,269.0,230.0,0.042461934377,0.0502568684387,0.0547081553793,0.046977124183,18953.0,922.0,0.048646652245
3664.0,11415.0,3626.0,3632.0,3061,170.0,188.0,207.0,230.0,0.0463973799127,0.0518477661335,0.0569933920705,0.0751388435152,13983.0,795.0,0.0568547521991
4902.0,11416.0,4679.0,4139.0,4205,162.0,151.0,167.0,190.0,0.0330477356181,0.03227185296,0.0403479101232,0.0451843043995,17925.0,670.0,0.0373779637378
6443.0,11417.0,6025.0,5078.0,5015,192.0,257.0,210.0,217.0,0.0297997827099,0.0426556016598,0.0413548641197,0.0432701894317,22561.0,876.0,0.0388280661318
8143.0,11418.0,7406.0,6342.0,5580,259.0,296.0,281.0,267.0,0.0318064595358,0.0399675938428,0.0443077893409,0.0478494623656,27471.0,1103.0,0.0401514324196
9544.0,11419.0,8566.0,7441.0,8599,391.0,318.0,262.0,342.0,0.0409681475272,0.0371235115573,0.0352103211934,0.0397720665194,34150.0,1313.0,0.0384480234261
9023.0,11420.0,8734.0,7593.0,6824,404.0,404.0,370.0,385.0,0.0447744652555,0.0462560109915,0.0487290925853,0.0564185228605,32174.0,1563.0,0.0485795984335
7350.0,11421.0,6660.0,6317.0,5757,220.0,232.0,224.0,219.0,0.0299319727891,0.0348348348348,0.0354598701915,0.0380406461699,26084.0,895.0,0.0343122220518
5487.0,11422.0,5069.0,4707.0,3868,318.0,276.0,327.0,203.0,0.0579551667578,0.0544486091931,0.0694710006373,0.0524819027921,19131.0,1124.0,0.0587528095761
6503.0,11423.0,6524.0,5365.0,4690,424.0,353.0,297.0,284.0,0.0652006766108,0.0541079092581,0.0553588070829,0.0605543710021,23082.0,1358.0,0.0588337232476
3015.0,11426.0,3198.0,2958.0,2419,193.0,152.0,133.0,181.0,0.0640132669983,0.0475297060663,0.0449628127113,0.0748243075651,11590.0,659.0,0.0568593615186
3566.0,11427.0,3378.0,3502.0,3198,192.0,172.0,197.0,209.0,0.0538418395962,0.0509177027827,0.0562535693889,0.0653533458412,13644.0,770.0,0.0564350630314
3389.0,11428.0,3046.0,3208.0,2726,230.0,229.0,236.0,228.0,0.0678666273237,0.075180564675,0.073566084788,0.0836390315481,12369.0,923.0,0.0746220389684
4764.0,11429.0,4210.0,3761.0,3489,370.0,332.0,267.0,309.0,0.0776658270361,0.0788598574822,0.0709917575113,0.0885640584695,16224.0,1278.0,0.0787721893491
865.0,11430.0,458.0,482.0,552,2.0,7.0,8.0,4.0,0.00231213872832,0.0152838427948,0.0165975103734,0.00724637681159,2357.0,21.0,0.00890963088672
10519.0,11432.0,10034.0,9920.0,9175,625.0,650.0,522.0,518.0,0.0594162943246,0.0647797488539,0.0526209677419,0.0564577656676,39648.0,2315.0,0.0583888216303
8589.0,11433.0,7901.0,6986.0,6609,764.0,788.0,645.0,690.0,0.0889509838165,0.0997342108594,0.0923275121672,0.1044030867,30085.0,2887.0,0.0959614425794
10351.0,11434.0,10625.0,9466.0,8776,726.0,808.0,710.0,730.0,0.0701381509033,0.0760470588235,0.0750052820621,0.0831814038286,39218.0,2974.0,0.075832525881
10064.0,11435.0,9514.0,7896.0,7809,669.0,655.0,545.0,569.0,0.0664745627981,0.0688459112886,0.069022289767,0.0728646433602,35283.0,2438.0,0.069098432673
4147.0,11436.0,3934.0,3066.0,3188,381.0,376.0,263.0,291.0,0.0918736435978,0.0955770208439,0.0857795172864,0.0912797992472,14335.0,1311.0,0.091454482037
11039.0,11691.0,10636.0,9918.0,8474,961.0,988.0,977.0,888.0,0.0870549868648,0.092892064686,0.098507763662,0.104791125797,40067.0,3814.0,0.095190555819
3305.0,11692.0,3064.0,3034.0,2908,288.0,368.0,356.0,384.0,0.0871406959153,0.120104438642,0.117336849044,0.132049518569,12311.0,1396.0,0.113394525221
1999.0,11693.0,2056.0,2355.0,2565,128.0,148.0,278.0,266.0,0.064032016008,0.0719844357977,0.11804670913,0.103703703704,8975.0,820.0,0.091364902507
3921.0,11694.0,3486.0,4483.0,5788,225.0,204.0,311.0,355.0,0.0573833205815,0.0585197934596,0.0693731875976,0.0613337940567,17678.0,1095.0,0.0619413960855
192.0,11697.0,86.0,414.0,148,8.0,3.0,1.0,18.0,0.0416666666667,0.0348837209302,0.0024154589372,0.121621621622,840.0,30.0,0.0357142857143
0.0,10112.0,0.0,1.0,26,0.0,0.0,0.0,0.0,,,0.0,0.0,27.0,0.0,0.0
0.0,10103.0,0.0,0.0,33,0.0,0.0,0.0,0.0,,,,0.0,33.0,0.0,0.0
0.0,10111.0,0.0,0.0,22,0.0,0.0,0.0,0.0,,,,0.0,22.0,0.0,0.0
0.0,10153.0,0.0,0.0,17,0.0,0.0,0.0,0.0,,,,0.0,17.0,0.0,0.0
