2010_a,zip,2011_a,2012_a,2013_a,2010_s,2011_s,2012_s,2013_s,2010_r,2011_r,2012_r,2013_r,total_a,total_s,total_r
4914.0,10302.0,4814.0,3826.0,3371,336.0,392.0,251.0,239.0,0.0683760683761,0.0814291649356,0.0656037637219,0.0708988430733,16925.0,1218.0,0.071964549483
4708.0,10303.0,4739.0,4224.0,4361,273.0,353.0,260.0,256.0,0.0579864061172,0.0744882886685,0.061553030303,0.0587021325384,18032.0,1142.0,0.0633318544809
8610.0,10304.0,8685.0,7410.0,7259,430.0,547.0,398.0,367.0,0.0499419279907,0.0629821531376,0.0537112010796,0.0505579280893,31964.0,1742.0,0.0544988111626
7160.0,10305.0,7418.0,6784.0,6630,482.0,590.0,432.0,367.0,0.0673184357542,0.0795362631437,0.063679245283,0.0553544494721,27992.0,1871.0,0.0668405258645
10833.0,10306.0,10580.0,9920.0,10270,505.0,706.0,570.0,518.0,0.046616818979,0.0667296786389,0.0574596774194,0.0504381694255,41603.0,2299.0,0.0552604379492
2385.0,10307.0,1900.0,1834.0,1682,119.0,92.0,70.0,67.0,0.0498951781971,0.0484210526316,0.0381679389313,0.0398335315101,7801.0,348.0,0.0446096654275
4640.0,10308.0,4478.0,3968.0,3958,203.0,176.0,147.0,126.0,0.04375,0.0393032603841,0.0370463709677,0.0318342597271,17044.0,652.0,0.0382539310021
5368.0,10309.0,5742.0,4448.0,4598,141.0,143.0,122.0,103.0,0.0262667660209,0.0249042145594,0.027428057554,0.0224010439321,20156.0,509.0,0.0252530263941
5499.0,10310.0,5414.0,4322.0,3989,335.0,398.0,268.0,229.0,0.0609201673031,0.0735131141485,0.0620083294771,0.057407871647,19224.0,1230.0,0.0639825218477
9751.0,10312.0,10177.0,8666.0,7893,313.0,324.0,257.0,233.0,0.0320992718696,0.0318364940552,0.0296561273944,0.0295198276954,36487.0,1127.0,0.0308877134322
12780.0,10314.0,14485.0,11887.0,11698,649.0,634.0,423.0,455.0,0.0507824726135,0.0437694166379,0.0355850929587,0.0388955376988,50850.0,2161.0,0.0424975417896
9412.0,10451.0,9270.0,8047.0,8264,349.0,280.0,253.0,287.0,0.0370803229919,0.0302049622438,0.0314402883062,0.0347289448209,34993.0,1169.0,0.0334066813363
20601.0,10452.0,19935.0,19094.0,19211,698.0,816.0,731.0,725.0,0.0338818503956,0.0409330323552,0.0382842777836,0.0377387954818,78841.0,2970.0,0.037670755064
24119.0,10453.0,21208.0,18060.0,19568,892.0,864.0,741.0,822.0,0.0369832911812,0.0407393436439,0.0410299003322,0.0420073589534,82955.0,3319.0,0.0400096437828
6130.0,10454.0,6017.0,5476.0,5738,235.0,241.0,245.0,268.0,0.0383360522023,0.0400531826492,0.0447406866326,0.046706169397,23361.0,989.0,0.0423355164591
8551.0,10455.0,7762.0,7072.0,7371,288.0,285.0,256.0,273.0,0.0336802713133,0.0367173408915,0.0361990950226,0.037037037037,30756.0,1102.0,0.035830407075
19346.0,10456.0,18892.0,17233.0,16001,774.0,849.0,767.0,603.0,0.0400082704435,0.0449396569977,0.0445076307085,0.0376851446785,71472.0,2993.0,0.0418765390642
23221.0,10457.0,20480.0,17809.0,18692,980.0,895.0,766.0,820.0,0.0422031781577,0.043701171875,0.0430119602448,0.0438690348812,80202.0,3461.0,0.0431535373183
24364.0,10458.0,24067.0,22196.0,21199,1047.0,956.0,828.0,1025.0,0.0429732392054,0.0397224415174,0.0373040187421,0.0483513373272,91826.0,3856.0,0.041992464008
12929.0,10459.0,11481.0,10656.0,9912,516.0,392.0,393.0,399.0,0.0399102792173,0.0341433673025,0.0368806306306,0.0402542372881,44978.0,1700.0,0.0377962559474
16440.0,10460.0,14580.0,13214.0,11659,699.0,641.0,552.0,459.0,0.0425182481752,0.0439643347051,0.0417738761919,0.0393687280213,55893.0,2351.0,0.0420625123003
9851.0,10461.0,10597.0,9870.0,9653,341.0,364.0,349.0,327.0,0.0346157750482,0.034349344154,0.0353596757852,0.0338754791257,39971.0,1381.0,0.0345500487854
14173.0,10462.0,14827.0,13768.0,12843,503.0,545.0,455.0,398.0,0.035490016228,0.0367572671478,0.033047646717,0.0309896441641,55611.0,1901.0,0.0341838844833
13552.0,10463.0,13527.0,11476.0,14435,537.0,503.0,396.0,557.0,0.0396251475797,0.0371848894803,0.0345067967933,0.0385867682716,52990.0,1993.0,0.0376108699755
1150.0,10464.0,1222.0,1068.0,2871,34.0,41.0,37.0,45.0,0.0295652173913,0.0335515548282,0.0346441947566,0.0156739811912,6311.0,157.0,0.0248771985422
6424.0,10465.0,5940.0,5717.0,5675,274.0,219.0,194.0,258.0,0.0426525529265,0.0368686868687,0.0339338814063,0.0454625550661,23756.0,945.0,0.0397794241455
14185.0,10466.0,14578.0,12234.0,12701,609.0,634.0,525.0,566.0,0.0429326753613,0.0434901906983,0.0429131927415,0.0445634202031,53698.0,2334.0,0.0434653059704
27026.0,10467.0,27403.0,25444.0,23684,1109.0,1204.0,1050.0,1032.0,0.0410345593133,0.0439367952414,0.0412670963685,0.0435737206553,103557.0,4395.0,0.0424403951447
22596.0,10468.0,20832.0,17745.0,19755,879.0,873.0,703.0,764.0,0.0389006903877,0.0419066820276,0.0396167934629,0.0386737534801,80928.0,3219.0,0.0397760972716
12821.0,10469.0,11802.0,10694.0,9899,577.0,597.0,543.0,479.0,0.045004289837,0.0505846466701,0.0507761361511,0.048388726134,45216.0,2196.0,0.0485668789809
3769.0,10470.0,3831.0,2950.0,3890,141.0,201.0,120.0,179.0,0.0374104537012,0.0524667188724,0.0406779661017,0.0460154241645,14440.0,641.0,0.0443905817175
2988.0,10471.0,3066.0,2575.0,2547,120.0,116.0,109.0,156.0,0.0401606425703,0.0378343118069,0.0423300970874,0.0612485276796,11176.0,501.0,0.0448282032928
16097.0,10472.0,16184.0,13817.0,13684,641.0,738.0,570.0,575.0,0.0398210846742,0.0456005931784,0.0412535282623,0.0420198772289,59782.0,2524.0,0.0422200662407
6631.0,10473.0,7196.0,6562.0,6369,240.0,233.0,232.0,281.0,0.0361936359523,0.0323790994997,0.0353550746724,0.0441199560371,26758.0,986.0,0.0368487928844
4976.0,10474.0,4395.0,4016.0,3418,173.0,134.0,105.0,106.0,0.0347668810289,0.0304891922639,0.0261454183267,0.0310122878877,16805.0,518.0,0.0308241594763
2297.0,10475.0,2310.0,2127.0,2044,123.0,118.0,133.0,97.0,0.0535481062255,0.0510822510823,0.0625293841091,0.0474559686888,8778.0,471.0,0.0536568694463
2114.0,11004.0,1988.0,2211.0,1665,128.0,126.0,90.0,92.0,0.0605487228004,0.0633802816901,0.0407055630936,0.0552552552553,7978.0,436.0,0.0546502882928
39.0,11005.0,53.0,32.0,28,2.0,0.0,1.0,2.0,0.0512820512821,0.0,0.03125,0.0714285714286,152.0,5.0,0.0328947368421
8939.0,11101.0,8402.0,8928.0,8794,297.0,385.0,543.0,515.0,0.0332251929746,0.0458224232326,0.0608198924731,0.0585626563566,35063.0,1740.0,0.0496249607849
5218.0,11102.0,5254.0,4698.0,4545,255.0,284.0,187.0,264.0,0.0488692985818,0.0540540540541,0.0398041719881,0.0580858085809,19715.0,990.0,0.0502155718996
6503.0,11103.0,6434.0,6358.0,5952,292.0,326.0,269.0,319.0,0.0449023527603,0.050668324526,0.0423089021705,0.0535954301075,25247.0,1206.0,0.0477680516497
4733.0,11104.0,4218.0,4357.0,4237,225.0,208.0,213.0,289.0,0.0475385590535,0.0493124703651,0.0488868487491,0.0682086381874,17545.0,935.0,0.0532915360502
5697.0,11105.0,6088.0,5408.0,5923,279.0,300.0,267.0,290.0,0.0489731437599,0.0492772667543,0.0493713017751,0.0489616748269,23116.0,1136.0,0.0491434504239
6286.0,11106.0,5939.0,5828.0,5630,275.0,315.0,514.0,294.0,0.043748011454,0.053039232194,0.0881949210707,0.0522202486679,23683.0,1398.0,0.0590296837394
9541.0,11201.0,9123.0,9620.0,9970,664.0,563.0,694.0,792.0,0.0695943821402,0.061712156089,0.0721413721414,0.0794383149448,38254.0,2713.0,0.0709206880326
18876.0,11203.0,18997.0,16293.0,16976,820.0,820.0,671.0,743.0,0.0434414070778,0.0431647102174,0.0411833302645,0.0437676720075,71142.0,3054.0,0.0429282280509
11234.0,11204.0,10993.0,10327.0,10545,479.0,352.0,363.0,406.0,0.0426384190849,0.0320203766033,0.0351505761596,0.0385016595543,43099.0,1600.0,0.0371238311794
7070.0,11205.0,6488.0,6493.0,7088,292.0,321.0,315.0,377.0,0.0413012729844,0.0494759556104,0.0485137840752,0.0531884875847,27139.0,1305.0,0.0480857806109
